,file_contents
82,"people in this world, some of them so wonderful, that made this dream become a product
"
83,"that you are holding in your hand. i would like to thank all of them, and in particular:
"
84,"shinie antony — mentor, guru and friend, who taught me the basics of telling a story and
"
85,"stayed with me right till the end. if she hadn’t encouraged and harassed me all the way, i
"
86,"would have given this up a long time ago.
"
87,"james turner, gaurav malik, jessica rosenberg, ritu malik, tracie ang, angela wang
"
88,"and rimjhim chattopadhya — amazing friends who read the manuscript and gave honest
"
89,"comments. all of them also stayed with me in the process, and handled me and my
"
90,"sometimes out-of-control emotions so well.
"
91,"anusha bhagat — a wife who was once a classmate, and was the first reader of the draft.
"
92,"apart from being shocked by some of the incidents in the book, she kept her calm as she had
"
93,"to face the tough job of improving the product and not upsetting her husband.
"
94,"my mom rekha bhagat and brother ketan, two people with an irrational, unbreakable
"
95,"belief in me that bordered on craziness at times. my relationship with them goes beyond the
"
96,"common genes we share, and i, like every author, needed their irrational support for me.
"
97,"my iit friends ashish (golu), johri, vk, manu, shanky, pappu, manhar, vp, rahul,
"
98,"mehta, pago, assem, rajeev g., rahul, lavmeet,puneet, chapar and all others. this is a
"
99,"work of fiction, but fiction needs real inspiration. i love them all so much that i could
"
100,"literally write a book on them. hey wait, have i?
"
101,"my friends in hong kong, my work colleagues, my yoga teachers and others that surround
"
102,"me, love me and make life fun.
"
103,"the editor and the entire team at rupa for being so professional and friendly through the
"
104,"process.
"
105,"and lastly, it 1s only when one writes a book that one realizes the true power of msword,
"
106,"from grammar checks to replace-alls. it is simple — without this software, this book would
"
107,"not be written. thank you mr bill gates and microsoft corp!
"
108," 
"
109,"prologue
"
110,"i had never been inside an ambulance before. it was kind of creepy. like a hospital was
"
111,"suddenly asked to pack up and move. instruments, catheters, drips and a medicine box
"
112,"surrounded two beds. there was hardly any space for me and ryan to stand even as alok
"
113,"got to sprawl out. i guess with thirteen fractures you kind of deserve a bed. the sheets were
"
114,"originally white, which was hard to tell now as alok’s blood covered every square inch of
"
115,"them. alok lay there unrecognizable, his eyeballs rolled up and his tongue collapsed outside
"
116,"his mouth like an old man without dentures. four front teeth gone, the doctor later told us.
"
117,"his limbs were motionless, just like his father’s right side, the right knee bent in a way
"
118,"that would make you think alok was boneless. he was still, and if i had to bet my money,
"
119,"i'd have said he was dead.
"
120,"“if alok makes it through this, i will write a book about our crazy days. i really will,” i
"
121,"swore. it is the kind of absurd promise you make to yourself when you are seriously messed
"
122,"up in the head and you haven’t slept for fifty hours straight...
"
123,"bare beginnings
"
124,"before i really begin this book, let me first tell you what this book is
"
125,"not. it 1s not a guide on how to live through college. on the contrary, it is probably an
"
126,"example of how screwed up your college years can get if you don’t think straight. but then
"
127,"this is my take on it, you’re free to agree or disagree. i expect ryan and alok, psychos both
"
128,"of them, will probably kill me after this but i don’t really care. i mean, if they wanted their
"
129,"version out there, they could have written one themselves. but alok cannot write for nuts,
"
130,"and ryan, even though he could really do whatever he wants, is too lazy to put his bum to
"
131,"the chair and type. so stuff it boys — it 1s my story, i am the one writing it and i get to tell it
"
132,"the way i want it.
"
133,"also, let me tell you one more thing this book is certainly not. this book will not help
"
134,"you get into iit. i think half the trees in the world are felled to make up the iit entrance
"
135,"exam guides. most of them are crap, but they might help you more than this one will.
"
136,"ryan, alok and i are probably the last people on earth you want to ask about getting into
"
137,"iit. all we would say as advice is, if you can lock yourself in a room with books for two
"
138,"years and throw away the key, you can probably make it here. and if your high school days
"
139,"were half as miserable as mine, disappearing behind a pile of books will not seem like such
"
140,"a bad idea. my last two years in school were living hell, and unless you captained the
"
141,"basketball team or played the electric guitar since age six, probably yours were too. but i
"
142,"don’t really want to get into all that.
"
143,"i think i have made my disclaimers, and it 1s time for me to commence.
"
144,"well, i have to start somewhere, and what better than the day i joined the indian institute of
"
145,"technology and met ryan and alok for the first time; we had adjacent rooms on the second
"
146,"floor of the kumaon hostel. as per tradition, seniors rounded us up on the balcony for
"
147,"ragging at midnight. i was still rubbing my eyes as the three of us stood to attention and three
"
148,"seniors faced us. a senior named anurag leaned against a wall. another senior, to my
"
149,"nervous eye, looked like a demon from cheap mythological tv shows — six feet tall, over a
"
150,"hundred kilos, dark, hairy, and huge teeth that were ten years late meeting an orthodontist.
"
151,"although he inspired terror, he spoke little and was busy providing background for the boss,
"
152,"baku, a lungi-clad human toothpick, and just as smelly is my guess.
"
153,"“you bloody freshers, dozing away eh? rascals, who will give an introduction?” he
"
154,"screamed.
"
155,"“t am hari kumar sir, mechanical engineering student, all india rank 326.” i was
"
156,"nothing if not honest under pressure.
"
157,"“t am alok gupta sir, mechanical engineering, rank 453,” alok said as i looked at him
"
158,"for the first time. he was my height, five feet five inches — in short, very short — and had
"
159,"these thick, chunky glasses on. his portly frame was covered in neatly ironed white kurta-
"
160,"pajamas.
"
161,"“ryan oberoi, mechanical engineering, rank 91, sir,” ryan said in a deep husky voice
"
162,"and all eyes swung to him.
"
163,"ryan oberoi, i repeated his name again mentally. now here was a guy you don’t see in
"
164,"iit too often; tall, with spare height, purposefully lean and unfairly handsome. a loose gray
"
165,"t-shirt proclaimed ‘gap’ in big blue letters on his chest and shiny black shorts reached his
"
166,"knees. relatives abroad for sure, i thought. nobody wears gap to bed otherwise.
"
167,"“you bastards,” baku was shrieking, “off with your clothes.”
"
168,"“aw baku, let us talk to them a bit first,” protested anurag, leaning against the wall,
"
169,"sucking a cigarette butt.
"
170,"“no talking!” baku said, one scrawny hand up. “no talking, just remove those damn
"
171,"clothes.”
"
172,"another demon grinned at us, slapping his bare stomach every few seconds. there
"
173,"seemed to be no choice so we surrendered every item of our clothing, shivering at the
"
174,"unholy glee in baku’s face as he walked by each of us, checking us out and grinning.
"
175,"nakedness made the difference between our bodies more stark as alok and me drew
"
176,"figures on the floor with deeply embarrassed toes, trying to be casual about our twisted
"
177,"balloon figures. ryan’s body was flawless, man, he was a hunk; muscles that cut at the right
"
178,"places and a body frame that for once resembled the human body shown in biology books.
"
179,"you could describe his body as sculpture. alok and i, on the other hand, weren’t exactly
"
180,"what you’d call art.
"
181,"baku told alok and me to step forward, so the seniors could have better view and a
"
182,"bigger laugh.
"
183,"“look at them, mothers fed them until they are ready to explode, little farex babies,”
"
184,"baku cackled.
"
185,"the demon joined him in laughter. anurag smiled behind a burst of smoke as he
"
186,"extinguished another cigarette, creating his own special effects.
"
187,"“sir, please sir, let us go sir,” alok pleaded to baku as he came closer.
"
188,"“what? let you go? we haven’t even done anything yet to you beauties. c’mon bend
"
189,"down on all fours now, you two fatsos.”
"
190,"i looked at alok’s face. his eyes were invisible behind those thick, bulletproof
"
191,"spectacles, but going by his contorted face, i could tell he was as close to tears as i was.
"
192,"“c’mon, do what he says,” the demon admonished. he and baku seemed to share a
"
193,"symbiotic relationship; baku needed him for brute strength, while the servile demon needed
"
194,"him for directions.
"
195,"alok and i bent down on all fours. more laughter, this time from above our heads, ensued.
"
196,"the demon suggested racing both of us, his first original opinion in a while but baku
"
197,"overrode him.
"
198,"“no racing-vacing, i have a better idea. just wait, i have to go to my room. and you
"
199,"naked cows, don’t look up.”
"
200,"baku raced up the corridor as we waited for twenty tense seconds, gazing at the floor. i
"
201,"glanced sideways and noticed a small water puddle adjacent to alok’s head, droplets
"
202,"falling from his eye.
"
203,"meanwhile, the demon made ryan flex his muscles and make warrior poses. i am sure he
"
204,"looked photogenic, but didn’t dare look up to verify.
"
205,"our ears picked up baku’s hurried steps as he returned.
"
206,"“look what i got,” he said, holding up his hands.
"
207,"“baku, what the hell is that for...?’ anurag enquired as we turned our heads up.
"
208,"in each of his hands, baku held an empty coke bottle. “take a wild guess,” he said as he
"
209,"clanged the bottles together, making suggestive gestures.
"
210,"face turning harder, arms still 1n modelling pose, ryan spoke abruptly, “sir, what exactly
"
211,"are you trying to do?”
"
212,"“what, isn’t it obvious? and who the hell are you to ask me?” choked baku.
"
213,"“sir, stop,” ryan said, in a louder voice.
"
214,"“fuck off,” baku dismissed, disbelief writ large in his widened eyes at this blatant
"
215,"rebellion against his age-old authority.
"
216,"as baku put the bottles in position, ryan abandoned his pin-up pose and jumped.
"
217,"catching him unawares, he grabbed the two bottles and stamped hard on baku’s feet. baku
"
218,"released his hands and the bottles were with ryan, james bond style.
"
219,"we knew that stomp hurt since baku’s scream was ultrasonic.
"
220,"“get this bastard,” baku shrieked in agony.
"
221,"the demon’s iq was clouded by the events but his ears registered the command for action
"
222,"and he had just collected himself in response when ryan smashed the two coke bottles on
"
223,"the balcony parapet. each bottle now was butt-broken, and he waved the jagged ends in air.
"
224,"“come, you bastards,” ryan swore, his face scarlet like a watermelon slice. baku and the
"
225,"demon retreated a few paces. anurag, who had been smouldering in the backdrop, snapped
"
226,"to attention. “hey, cool it everyone here. how did this happen? what 1s your name - ryan,
"
227,"take it easy man. this is just fun.”
"
228,"“tt’s not fun for me,” growled ryan, “just get the hell out of here.”
"
229,"alok and i looked at each other. i was hoping ryan knew what he was doing. i mean sure,
"
230,"he was saving our ass froma coke bottle, but broken coke bottles could be a lot worse.
"
231,"“listen yaar,’ anurag started as ryan cut him short.
"
232,"“just get lost,” ryan shouted so hard that baku seemed to blow away just from the
"
233,"impact. actually, he was shuffling backward slowly and steadily till he was almost flying in
"
234,"his haste to get away, the demon following suit. anurag stood there gaping at ryan for a
"
235,"while and then looked at us.
"
236,"“tell him to control himself. or one day he will take you guys down too,” anurag said.
"
237,"alok and i got up and wore our clothes.
"
238,"“thanks ryan, i was really scared,” alok said, as he removed his spectacles to wipe snot
"
239,"and tears, face to face with his hero at last.
"
240,"there is a reason why they say men should not cry, they just look so, like, ugly. alok’s
"
241,"spectacles were sad enough, but his baby-wet blubbery eyes were enough to depress you
"
242,"into suicide.
"
243,"“yes, thanks ryan, some risk you took there. that baku guy 1s sick. though you think they
"
244,"would have done anything?” i said, striving for a cool i did not feel.
"
245,"“who knows? maybe not,” ryan rotated a shoulder, “but you can never tell when guys
"
246,"get into mob mentality. trust me, i have lived in enough boarding schools.”
"
247,"ryan’s heroics were enough to make us all bond faster than fevicol. besides, we were
"
248,"hostelite neighbours and in the same engineering department. they say you should not get
"
249,"into a relationship with people you sleep with on the first date. well, though we hadn’t slept
"
250,"together, we had seen each other naked at primary meet, so perhaps we should have
"
251,"refrained from striking up a friendship. but our troika was kind of inevitable.
"
252,"“m-a-c-h-i-n-e,” the blackboard proclaimed in big bold letters.
"
253,"as we entered the amphitheatre-shaped lecture room, we grabbed a pile of handouts
"
254,"each. the instructor sat next to the blackboard like a bloated beetle, watching us settle
"
255,"down, waiting for the huddled murmurs to cease.
"
256,"he appeared around forty years of age, with gray hair incandescent from three
"
257,"tablespoons of coconut oil, wore an un-tucked light blue shirt and had positioned three pens
"
258,"in his front pocket, along with chalks, like an array of bullets.
"
259,"“welcome everyone. i am professor dubey, mechanical engineering department... so,
"
260,"first day in college. do you feel special?” he said in a monotone.
"
261,"the class remained silent. we were busy scanning our handouts and feeling like a herd.
"
262,"the course was manufacturing processes, often shortened to manpro for easier
"
263,"pronunciation. the handouts consisted of the course outline. contents covered the basic
"
264,"techniques of manufacturing — such as welding, machining, casting, bending and shaping.
"
265,"along with the outline, the handout contained the grading pattern of the course.
"
266,"majors — 40%
"
267,"minors — 20%
"
268,"practicals — 20%
"
269,"assignments (6-8) and surprise quizzes (3-4) — 20%
"
270,"prof dubey noticed the limp response to his greeting and made his voice more exuberant.
"
271,"“look at the handout later. don’t worry, you will get enough of these, one for every course.
"
272,"put them aside now,” he said as he stood up and walked toward the blackboard.
"
273,"he took out a chalk from his pocket with a flourish celluloid-terrorists reserved for hand-
"
274,"grenades and underlined the word ‘machine’ approximately six times. then he turned to us.
"
275,"“machine, the basic reason for existence of any mechanical engineer. everything you learn
"
276,"finds application in machines. now, can anyone tell me what a machine 1s?”
"
277,"the class fell even more silent. that’s the first lesson: various degrees of silence.
"
278,"“anyone?” the professor asked again as he started walking through the rows of students.
"
279,"as the students on the aisles felt even more stalked and avoided eye contact, i turned around
"
280,"to study my new classmates. there must have been seventy of us in this class, three hundred
"
281,"of us in a batch. i noticed a boy in front of me staring at the instructor intently, his head
"
282,"moving to and fro, mouth ajar; a timid sort, whom baku could polish off for snack any given
"
283,"day.
"
284,"“you,” prof dubey chose me as his first casualty.
"
285,"it was the first time the condition struck me, where tongue cleaves unto dental roof, body
"
286,"freezes, blood vessels rupture and sweat bursts out in buckets.
"
287,"“you, iam talking to you,” the professor clarified.
"
288,"“hari, hari..”” somebody inside me called but could only get my answering machine. i
"
289,"could have attempted an answer, or at least a silly ‘i don’t know’ but it was as if my mouth
"
290,"was awol.
"
291,"“strange,” surmised prof dubey dubiously as he moved to another student.
"
292,"“you in the check shirt. what do you think?”
"
293,"check shirt had hitherto been pretending to take notes to escape the professor’s glance.
"
294,"“sir, machine sir...1s a device... like big parts... sir like big gears and all...”
"
295,"“what?” prof dubey’s disgust fell like spit on check shirt. “see, the standard just keeps
"
296,"falling every year. our admission criteria are just not strict enough.” he shook his oiled
"
297,"skull, the one that contained all the information in this planet, including the definition of
"
298,"machines.
"
299,"“yeah, right. busted my butt for two years for this damn place. one in hundred 1s not
"
300,"good enough for them,” ryan whispered to me.
"
301,"“shshh,” ordered prof dubey, looking at the three of us, “anyway, the definition of a
"
302,"machine 1s simple. it is anything that reduces human effort. anything. so, see the world
"
303,"around you and it 1s full of machines.”
"
304,"anything that reduces human effort, i repeated in my head. well, that sounded simple
"
305,"enough.
"
306,"“so, from huge steel mills, to simple brooms, man has invented so much to reduce human
"
307,"effort,” the professor continued, as he noticed the class was mesmerized by his simple
"
308,"clarification.
"
309,"“airplane?” said one student in the front row.
"
310,"“machine,” instructor said.
"
311,"“stapler,” suggested another.
"
312,"“machine.”
"
313,"it really was amazing. a spoon, car, blender, knife, chair — students threw examples at the
"
314,"professor and there was only one answer — machine.
"
315,"“fall in love with the world around you,” prof dubey smiled for the first time, “for you
"
316,"will become the masters of machines.”
"
317,"a feeling of collective joy darted through the class for having managed to convert prof
"
318,"dubey’s sour expression into smiles.
"
319,"“sir, what about a gym machine, like a bench press or something?” ryan interrupted the
"
320,"bonhomie.
"
321,"“what about it?” prof dubey stopped beaming.
"
322,"“that doesn’t reduce human effort. in fact, it increases it.”
"
323,"the class fell silent again.
"
324,"“well, i mean...” prof dubey said as he scouted for arguments.
"
325,"boy, did ryan really have a point?
"
326,"“perhaps it is too simple a definition then?” ryan said in a pseudo-helpful voice.
"
327,"“what are you trying to do?” the professor asked tight-lipped as he came close to us
"
328,"again, “are you saying that i am wrong?”
"
329,"“no sir, ?m just...”
"
330,"“watch it son. in my class, just watch it,” was all prof dubey said as he moved to the
"
331,"front.
"
332,"“okay, enough fun. now, let us focus on manpro,” he said as he rubbed off the word
"
333,"‘machine’ from the blackboard and the six underlines below it, “my course is very
"
334,"important. i am sure many professors will tell you about their courses. but i care about
"
335,"manrpro. so, don’t miss class, finish your assignments and be prepared, a surprise quiz can
"
336,"drop from the sky at any time.”
"
337,"he went on to tackle casting, one of the oldest methods of working with metal. after an
"
338,"hour on how iron melts and foundry workers pour it into sand moulds, he ended the session.
"
339,"“that is it for today. best of luck once again for your stay here. remember, as your head
"
340,"of department prof cherian says, the tough workload 1s by design, to keep you on your toes.
"
341,"and respect the grading system. you get bad grades, and i assure you — you get no job, no
"
342,"school and no future. if you do well, the world is your oyster. so, don’t slip, not even once,
"
343,"or there will be no oyster, just slush.”
"
344,"a shiver ran through all of us as with that quote the professor slammed the duster on the
"
345,"desk and walked away in a cloud of chalk.
"
346,"terminator
"
347,"they say time flies when you are having fun. in the first semester alone,
"
348,"with six courses, four of them with practical classes, time dragged so slow and comatose,
"
349,"fun was conspicuous by its absence. every day, from eight to five, we were locked in the
"
350,"eight-storey insti-building with lectures, tutorials and labs. the next few hours of the
"
351,"evening were spent in the library or in our rooms as we prepared reports and finished
"
352,"assignments. and this did not even include the tests! each subject had two minor tests, one
"
353,"major and three surprise quizzes; seven tests for six courses meant forty-two tests per
"
354,"semester, mathematically speaking. luckily, the professors spared us surprise quizzes in the
"
355,"first month, citing ragging season and the settling-in period of course; but the ragging season
"
356,"ended soon and it meant a quiz could happen any time. in ever y class we had to look out for
"
357,"instructor ’s subtle hints about a possible quiz in the next class.
"
358,"meanwhile, i got better acquainted with ryan and alok. ryan’s dad had this handicraft
"
359,"business that was essentially a sweatshop for potters that made vases for the european
"
360,"market. ryan’s father and mother were both intimately involved in the business and their
"
361,"regular travel meant ryan stayed in boarding school, a plush colonial one in hill-town
"
362,"mussoorie.
"
363,"alok’s family, i guess, was of limited means, which is just a polite way of saying he was
"
364,"poor. his mother was the only earning member, and last i heard, schoolteachers didn’t
"
365,"exactly hit dirt on pay-day. besides, half her salary regularly went to support her husband’s
"
366,"medical treatment. at the same time, alok’s elder sister was getting near what he mournfully
"
367,"called ‘marriageable age’, another cause of major worry for his household. going by alok’s
"
368,"looks i guess she wasn’t breathtakingly beautiful either.
"
369,"i also got familiar with kumaon and other wing-mates. i won’t go into all of them, but in
"
370,"one corner there was sukhwinder or the “happy surd’ since his face broke into sunny smiles
"
371,"at proximity with anything remotely human. next to him was the studious venkat, who
"
372,"coated his windows with thick black paper and stayed locked inside alone. there was
"
373,"‘itchy’ rajesh whose hands were always scratching some part of his body, sometimes in
"
374,"objectionable places. on the other side of the hallway were seniors’ rooms, including baku,
"
375,"anurag and other animals.
"
376,"ryan, alok and i often studied together in the evenings. one month into the first semester,
"
377,"we were sitting in my room chasing a quanto-physics assignment deadline.
"
378,"“damn,” ryan said as he got up his easy chair to stretch his spectacular spine. “what a
"
379,"crazy week; classes, assignments, more classes, assignments and not to mention the coming-
"
380,"attraction quizzes. you call this a life?”
"
381,"alok sat on the study desk, focused on the physics assignment, head bent down and
"
382,"sideways, just two inches above his sheet. he always writes this way, head near the sheet,
"
383,"pen pressed tight between his fingers, his white worksheets reflected on his thick glasses.
"
384,"“wha...” alok looked up, sounding retarded.
"
385,"“t said you call this a life?” ryan asked, this time looking at me.
"
386,"i was sitting on the bed cross-legged, attempting the assignment on a drawing board. i
"
387,"needed a break, so i put my pen down.
"
388,"“call it what you want,” i said, words stifled by a titanic yawn, “but that 1s not going to
"
389,"change it.”
"
390,"“t think this 1s jail. it really 1s. damn jail,” ryan said, hitting the peeling wall witha fist.
"
391,"“maybe you're forgetting that you’re in iit, the best college in the country,” alok said,
"
392,"cracking knuckles.
"
393,"“so? you put students in jail?” ryan asked, hands on hips.
"
394,"“no. but you expect a certain standard,” alok said, putting his hand up to indicate height.
"
395,"“this 1s high standard? working away like moronic drones until midnight. manpro
"
396,"yesterday, apmech day before, quanto today...it never ends,” ryan grumbled. “i need a
"
397,"break, man. anyone for a movie?”
"
398,"“and what about the assignment?” alok blinked.
"
399,"“priya has 7erminator on,” ryan beguiled.
"
400,"“then when will we sleep?” alok said.
"
401,"“you are one real muggu eh?” ryan said indulgently to him.
"
402,"“tl go,” i said, keeping my drawing board aside, “come alok, we’ll do it later.”
"
403,"“tt will get late, man,” alok warned half-heartedly.
"
404,"i stood up and took his pen, put it into his geometry box. yes, alok had a geometry box,
"
405,"like he was about twelve years old.
"
406,"“come get up,” i said when i noticed two paintbrushes in his box. “hey, what are the
"
407,"paintbrushes for?”
"
408,"“nothing,” alok mumbled.
"
409,"i lifted the brushes, painting imaginary arcs in air. “then why do you have them? to give
"
410,"colour to your circuit diagrams?” i laughed at my own joke, waving the brushes in the air.
"
411,"“or to express your soul in the manpro class? to draw prof dubey’s frowny face?”
"
412,"“no. actually, they are my father’s. he was an artist, but he’s paralyzed now.”
"
413,"there are times in life you wish dinosaurs weren’t extinct and could be whistled to come
"
414,"and gulp you down. i went motionless, fingers 1n mid-air.
"
415,"ryan saw my face and pressed his teeth together to be simultaneously tch-tch sympathetic
"
416,"to alok and stop laughing at me. “really alok? that’s really sad. ’'m sorry man,” he said,
"
417,"putting his hand around alok’s shoulder. the bastard, scoring over me for no fault of mine.
"
418,"“tt’s okay. it was a long while ago. we are used to him like that now,” alok said, finally
"
419,"getting up for the movie while i was still hoping i’'d evaporate.
"
420,"when we walked out, ryan was with alok, me trailing six steps behind.
"
421,"“well, i have lived in boarding school all my life, so i can’t really understand. but 1t must
"
422,"be pretty difficult for you. i mean how did you manage?” ryan continued.
"
423,"“barely managed actually. my mother is a biology teacher. that was the only income.
"
424,"elder sister is still in college.”
"
425,"i nodded my head, trying desperately to evince how empathetic to his cause i was, too.
"
426,"“how do you think i got into iit? i was taking care of him for the past two years,” alok
"
427,"said.
"
428,"“really?” i said, finally getting my chance to get into the conversation.
"
429,"“yes, every day after school i was nursing him and reading my books.”
"
430,"ryan had a scooter, which made it easy for us to get to priya. it was illegal for three
"
431,"people to ride together in a triple sandwich, but cops rarely demanded more than twenty
"
432,"bucks if they stopped you. chances of getting caught were less than one in ten, so ryan said
"
433,"it was still cheap on a probability weighted basis.
"
434,"priya cinema at night was a completely different world from our quiet campus. families,
"
435,"couples and groups of young people lined up to catch the hit movie of the season. we bought
"
436,"front row tickets, as alok did not want to spend too much. personally, i think he was just too
"
437,"blind to sit far away. in any case, the movie was science fiction, which i should have
"
438,"guessed given ryan’s choice; he always picked sci-fi movies. i hate sci-fi movies, but who
"
439,"asks me? this one had time travel, human robots, laser guns, the works, presented in an
"
440,"unfunny way. in ten minutes, the obscenely muscular hero’s heroics looked too silly to even
"
441,"smirk at, and i was yawning uncontrollably.
"
442,"“wow!” ryan said, bringing his hand to his face as the villain launched a torpedo from
"
443,"his backpack.
"
444,"“what the hell do you see in these movies?” i whispered, just to jack his trip.
"
445,"“man, look at all those gadgets.”
"
446,"“but they’re all fake. it is fiction.”
"
447,"“yes, but we could have them one day.”
"
448,"“time travel? you really think we could have time travel?” ryan’s ridiculous when he
"
449,"gets excited.
"
450,"“hush, it’s hard enough to understand the accent guys,” alok objected.
"
451,"when we returned to kumaon at midnight, our asses were set on fire, i mean not literally,
"
452,"but everyone from venkat to sukhwinder were running around with notepads and textbooks.
"
453,"“surprise quiz. strong rumour of one in apmech,” happy surd explained as he furiously
"
454,"riffled through his notes, for once not electrified at our company.
"
455,"apmech was applied mechanics, and apparently, some student in nilgiri hostel had
"
456,"visited the professor’s office in the evening to submit a late assignment. the professor had
"
457,"sinisterly advised to “keep revising your notes”, waggling left eyebrow at the same time.
"
458,"enough to ring the alarm as news travelled through the campus like wildfire.
"
459,"“damn. now we have to study for apmech. it will take hours,” alok said morosely.
"
460,"“and we have the quanto assignment to finish as well,” i reminded.
"
461,"everyone gathered in my room to study. it was at two in the morning that alok spoke.
"
462,"“this whole movie thing was a dumb idea, i told you.”
"
463,"“how was i to know? anyway, why are you taking arbit tension?” ryan took offence.
"
464,"“tt is not arbit. it’s relative grading here, so if we don’t study and others do, we are
"
465,"screwed,” alok said, stressing the last word so hard even ryan was startled.
"
466,"just then, a mouse darted out from under my bed.
"
467,"“did you see that?” ryan said, eager to change the topic. he removed his slippers,
"
468,"hoping to take aim and strike the rodent down. however, the rodent had other ideas on his
"
469,"own demise and dived diplomatically back under the bed.
"
470,"“yes, there are these creepy mice in my room. little bastards,” i said, almost
"
471,"affectionately.
"
472,"“you want me to kill them for you?” ryan offered.
"
473,"“tt’s not that easy. they are too smart and quick,” i said.
"
474,"“challenge?” ryan said.
"
475,"“t beg you brothel-borns, not now. can we please study?” alok said, literally folding his
"
476,"hands. the guy 1s too dramatic.
"
477,"ryan eased back into the chair and wore his footwear. he opened the apmech book and
"
478,"exhaled deep through his mouth.
"
479,"“yes sir, let us mug and cram. otherwise, how will we become great engineers of this
"
480,"great country,” ryan mock-sighed.
"
481,"“shut up,” alok said, his face already immersed in his workbook.
"
482,"ryan did shut up after that, even though he kept bending to look under the bed from time to
"
483,"time. i was sure he wanted to get at least one mouse, but the little creatures smartly
"
484,"maintained a low profile. we finished our quanto assignment 1n an hour and then revised the
"
485,"apmech notes until five, by which time ryan was snoring soundly, i was struggling to stay
"
486,"awake and even alok’s eyes had started watering. we still had around a third of the course
"
487,"left, but it was necessar y to catch some sleep. besides, the quiz was only a rumour, we did
"
488,"not know if 1t would actually materialize.
"
489,"but rumours, especially ugly ones, have a way of coming true. thirty minutes into the
"
490,"apmech class, prof sen locked the door and opened his black briefcase. “time for some
"
491,"fun. here is a quickie quiz of multiple choice questions,” he said.
"
492,"prof sen passed the handouts to the front row students, who in turn cascaded them
"
493,"backward. everyone in class knew about the rumour, and the quiz was as much a surprise as
"
494,"snow in siberia. i took the question sheet and glanced over the questions. most of them
"
495,"were from recent lectures, the part of the course we could not revise.
"
496,"“crap. we never got to the lectures for question five onward,” i whispered to alok.
"
497,"“we are screwed. let’s get screwed in silence at least,” he said as he placed his head in
"
498,"his ‘study’ position, left cheek almost touching the answer sheet.
"
499,"we never discussed the quiz upon our return to kumaon that day. other students were
"
500,"talking animatedly about some questions being out of course. obviously, we never finished
"
501,"the course, so we did not know better. we did not have to wait for results too long either.
"
